Avar:CSK020,0.126344,0.114755,0.028661,0.011951,0.023389,0.001394,0.00094,0.003923,0.000205,0.010205,-0.005359,0.001798,-0.003568,0.010735,-0.008143,-0.010342,-0.018123,0.000507,0.006285,-0.00988,-0.006239,0.008285,-0.000123,-0.003253,-0.001916
Avar:CSK021,0.117238,0.14319,0.028661,0,0.028621,-0.007251,0.004465,-0.000692,-0.000205,0.006378,0.001137,0.014537,0.006244,0.009496,-0.007465,-0.008486,-0.011865,-0.012035,0.006788,0.003377,-0.001622,-0.005935,0.004314,-0.001446,-0.000838
Avar:CSK022,0.125205,0.132019,0.027907,0.005168,0.013541,0,0.00705,0.005077,-0.010635,0.007654,-0.008769,0.000899,-0.003568,0.003991,-0.014794,-0.016574,-0.010952,0.00152,0.006034,-0.006503,0.001248,-0.00371,0.007395,-0.015303,-0.002036
Avar:CSK023,0.121791,0.082258,0.040729,-0.000969,0.012618,-0.006136,0.001645,0.006,-0.00634,0.007654,-0.009743,0.006744,-0.005203,0.000138,0.008822,0.00411,-0.00352,-0.000507,0.000126,0.001376,0.000624,-0.001484,-0.003081,0.005904,0.005868
Avar:CSK025,0.114961,0.125926,0.017348,-0.031654,0.017234,-0.008088,0.002585,0.000231,-0.003681,0.021322,-0.005359,0.013638,-0.015907,-0.009083,-0.015472,0.002917,0.017211,0.000633,0.011313,0.001126,-0.011355,0.001855,0.007518,0.008314,-0.001557
Avar:CSK026,0.124067,0.085304,0.029793,0.005814,0.02185,0.001116,0.00047,0.008077,-0.008385,-0.002916,-0.007632,0.003447,-0.016501,0.009771,-0.008007,-0.003182,0.008866,0.004307,0.009804,-0.006128,-0.006738,-0.000124,0.000986,0.004458,-0.000359
Avar:CSK028,0.132035,0.140143,0.048649,0.021318,0.043085,0.005857,0.00987,0.005538,-0.000205,-0.001276,0.001461,0.001649,-0.002676,0.004679,0.001086,-0.002387,0.013169,-0.002787,0.007039,0.00025,0.005615,0.000124,-0.005916,0.003976,-0.001796
Avar:CSK029,0.130897,0.108662,0.039598,0.009367,0.017234,0.006414,-0.005875,0.005538,0.007363,0.001458,-0.004384,-0.001049,-0.006392,0.004542,-0.010858,0.005304,0.019166,-0.002154,0.004148,-0.003502,-0.001497,-0.004328,0.00456,-0.001205,-0.005269
Avar:CSK030,0.12862,0.118817,0.040729,0.011305,0.031083,-0.000279,0.00517,0.005538,0.006545,0.007107,0.000974,0.002698,0.000297,0.001514,-0.005836,-0.001458,0.002086,0.0019,0.004274,0.001501,-0.001497,0.003586,-0.001109,0.00253,-0.000838
Avar:CSK032,0.127482,0.145221,0.013576,-0.01938,0.019388,-0.008367,-0.00423,-0.001385,0.006954,0.018953,-0.000325,0.004796,-0.014123,-0.012386,-0.006107,0.013657,0.020861,0.002787,0.007165,0.001126,-0.002246,0.00371,-0.00037,0.004338,0.00479
Avar:CSK033,0.129758,0.125926,0.021873,-0.015827,0.035083,-0.010319,0,0.004615,0.013294,0.016766,0.008769,0.001349,-0.007136,0.001927,-0.005429,0.006895,0.022687,-0.00076,0.007542,-0.005127,-0.001872,0.009521,0.01442,0.005422,0.006227
Avar:CSK034,0.132035,0.149283,0.028284,-0.006137,0.028621,-0.003904,0.007285,0.005769,0.000614,0.002916,-0.002761,0.005395,-0.009663,0.002477,-0.009229,0,0.005346,-0.00228,0.007416,-0.004002,-0.00287,0.005441,-0.001479,-0.00241,-0.00012
Avar:CSK035,0.099026,0.01828,0.011314,-0.027455,-0.014772,-0.017291,0.003525,0.002538,-0.002454,0.017495,0.000162,0.002698,-0.005352,0.010184,-0.010858,-0.016706,-0.018645,-0.003041,0.005656,-0.009379,-0.013726,0.001978,0.000123,-0.005663,0.001317
Avar:CSK036,0.136588,0.147252,0.018856,-0.012274,0.019388,-0.003068,0.00235,0.01223,-0.00225,0.018406,0.007145,0.003597,-0.01219,0.002202,-0.013029,0.001061,0.011865,0.001014,0.011187,-0.002501,-0.006489,0.001113,0.008997,-0.001446,-0.006945
Avar:CSK037,0.12862,0.138112,0.034318,0.001292,0.034776,0.011156,0.004465,0.004154,-0.002659,0.004556,-0.000974,0.006444,-0.00996,-0.000688,0.000543,0.00053,0.007953,-0.001267,0.004902,-0.005878,-0.007861,0.005441,-0.00493,0.005422,0.003233
Avar:CSK038,0.132035,0.129988,0.060716,0.046835,0.029544,0.024263,0.003525,0.003692,0.000205,-0.014579,-0.001461,-0.001049,0.009068,0.01734,-0.002307,-0.013259,-0.015516,0.005321,0.011187,-0.010255,-0.003494,-0.006183,0.008134,0.002892,0.001437
Avar:CSK039,0.125205,0.093429,0.023381,-0.005168,0.016311,-0.006414,0.00564,0.011999,-0.001023,0.006378,0.00065,-0.003747,-0.005649,0.013074,-0.014658,-0.018032,-0.01708,-0.005448,0.001885,-0.00988,-0.009982,-0.010758,0.007025,-0.000723,-0.00455
